项目名称,发布时间,开标时间,跳转链接 
['东区学生宿舍卫生间、天棚维修项目公开招标公告'],['2019-10-24'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5db16f62eade0.html']
['海幢街道党群服务中心建设工程项目招标公告'],['2019-10-24'],['2019-11-13'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5db168addccbe.html']
['粤东西北地区中心卫生院升级建设项目医用中心供氧系统、医用中心吸引系统、医用呼叫对讲系统及医用制氧设备系统招标公告'],['2019-10-24'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5db1660cb2579.html']
['中山市保险行业协会保险从业人员服务系统建设项目 竞争性磋商邀请函'],['2019-10-24'],['2019-11-06'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5db1546a6c669.html']
['平塘镇深坳至湘垌公路窄路基路面拓宽工程竞争性磋商公告'],['2019-10-24'],['2019-11-04'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5db151d052617.html']
['广东省阳春监狱武警中队指挥中心信息化建设项目磋商公告'],['2019-10-24'],['2019-11-05'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5db12210683e2.html']
['信宜市人民医院数字乳腺钼靶X线机采购项目招标公告'],['2019-10-23'],['2019-11-13'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5db01dc7b13cd.html']
['广州开发区水质净化管理中心黄埔区污水应急处理一体化设施服务采购项目（子包2重招2）公开招标公告'],['2019-10-23'],['2019-11-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5daff8fbb4f23.html']
['林科园科普登山步道工程项目询价公告'],['2019-10-24'],['2019-10-29'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5daff34736bc4.html']
['广州市民政局精神病院合成树脂瓦屋顶材料和不锈钢设施购置项目招标公告'],['2019-10-23'],['2019-11-13'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5dafddce9cf80.html']
['中山火炬开发区港裕轩小区三线整治工程竞争性磋商招标公告'],['2019-10-23'],['2019-10-23'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5dafdacc40195.html']
['中山火炬开发区祥怡居小区三线整治工程竞争性磋商招标公告'],['2019-10-23'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5dafda27e2b26.html']
['专业级天文望远镜配套天象厅采购项目招标公告'],['2019-10-23'],['2019-11-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5dafccc29be35.html']
['中山市第二人民医院2020年医护岗位政府购买服务招标公告'],['2019-10-23'],['2019-11-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5dafcc90bd8aa.html']
['东莞市公安局横沥分局视频监控辅助系统运维服务项目招标信息公告'],['2019-10-22'],['2019-11-11'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5daecb50e5b0c.html']
['海警广州某部住房修缮工程竞争性谈判公告'],['2019-10-22'],['2019-10-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5daebd2462951.html']
['惠州市第三人民医院卒中急救管理系统项目竞争性磋商公告'],['2019-10-22'],['2019-11-04'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5daeb7b9282bb.html']
['中山市河涌水质自动监测平台及配套系统第三方测评及等保服务项目招标公告'],['2019-10-22'],['2019-11-12'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5daeb325b51cd.html']
['东莞医保宣传视频制作项目招标公告'],['2019-10-22'],['2019-11-12'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5daeb20b9c473.html']
['广州市从化区文化广电旅游体育局 南粤古驿道·2019年广东省定向公开赛(广州.从化站)招标公告'],['2019-10-22'],['2019-11-12'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5daea31d1ff32.html']
['东莞市市场监督管理局信息系统维护服务项目竞争性磋商公告'],['2019-10-22'],['2019-11-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5dae7eb0f1b07.html']
['惠州市中大惠亚医院购置2019年度第七批医疗设备采购项目 公开招标公告'],['2019-10-22'],['2019-11-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5dae6a082ed05.html']
['制作二代“阳光娃娃”工程项目竞争性磋商公告'],['2019-10-21'],['2019-11-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5dad306aefcff.html']
['信宜市人民医院全自动血型分析仪采购项目招标公告'],['2019-10-21'],['2019-10-30'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5dad05debbcbc.html']
['广东省自然资源厅门户网站改版项目竞争性磋商公告'],['2019-10-18'],['2019-10-30'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da97e689a0ba.html']
['黄埔海关监管作业场所视频监控扩容二期工程公开招标公告'],['2019-10-18'],['2019-11-08'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da97c8a0def8.html']
['火村社区社工服务站社会服务采购项目采购需求征求意见公告'],['2019-10-18'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da97b1a2b057.html']
['社区社工服务站社会服务采购项目（笔岗社区、东区社区）采购需求征求意见公告'],['2019-10-18'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da97842d7a69.html']
['云埔街幸福街坊社工服务站社会服务采购项目采购需求征求意见公告'],['2019-10-18'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da975a0e49dd.html']
['中顺大围工程调度系统流量站维护项目磋商公告'],['2019-10-18'],['2019-10-31'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da96c7d22627.html']
['广州市花都区水旱灾害防御中心2019年防汛抗旱物资采购项目公开招标公告'],['2019-10-18'],['2019-11-08'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da95742ce95b.html']
['惠州市中大惠亚医院购置2019年度第五批医疗设备采购项目公开招标公告'],['2019-10-17'],['2019-11-12'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da8283b0c9d2.html']
['佛山市高明区人民法院“12368”诉讼服务热线平台运行维护项目竞争性磋商公告'],['2019-10-17'],['2019-10-29'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da7c2bc8eece.html']
['中山市古镇人民医院布类洗涤项目 单一来源采购公告'],['2019-10-16'],['2019-10-24'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da6e9e758e9d.html']
['广东省高级技工学校技能型特色创业孵化基地建设项目（重招）公开招标公告'],['2019-10-16'],['2019-11-06'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da6e69f14da1.html']
['中山火炬开发区大岭小区三线整治工程竞争性磋商招标公告'],['2019-10-16'],['2019-10-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da6e1b8621be.html']
['中山市自然资源信息中心采购项目 竞争性磋商邀请函'],['2019-10-16'],['2019-10-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da6de861d685.html']
['兴中广场电梯维护保养服务采购项目招标公告'],['2019-10-16'],['2019-11-19'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da6d42b3e9f4.html']
['中山市第二中学智慧校园项目招标公告'],['2019-10-16'],['2019-11-08'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da6c5b37bb60.html']
['中国人民银行东莞市中心支行副食品类食品配送定点服务资格项目'],['2019-10-16'],['2019-11-06'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da6c39c85c1d.html']
['中国人民银行东莞市中心支行公务用车维修服务项目招标信息公告'],['2019-10-16'],['2019-11-06'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da6c33809b07.html']
['“广东应急管理”微信公众号和南方号内容运营服务项目竞争性磋商公告'],['2019-10-16'],['2019-10-29'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da69e0ab94f8.html']
['雷达基地学术厅远程协调办公系统项目公开招标公告'],['2019-10-16'],['2019-11-06'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da69b96443b1.html']
['省应急管理厅室内无线网络覆盖技术服务项目竞争性磋商公告'],['2019-10-16'],['2019-10-29'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da697cb98c92.html']
['广东新华发行集团股份有限公司文化消费大数据应用平台项目（重招）公开招标公告'],['2019-10-16'],['2019-11-06'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da6929809974.html']
['广州番禺职业技术学院2013、2014、2015年信息化项目验收测评服务竞争性磋商公告'],['2019-10-16'],['2019-10-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da691c6c41dc.html']
['广州番禺职业技术学院2013、2014年信息化项目安全测评服务 单一来源公示'],['2019-10-16'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da690f7b4e7a.html']
['广东新华文化用品B2B平台建设服务项目（重招）竞争性磋商公告'],['2019-10-15'],['2019-10-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da58b105dccf.html']
['惠州市中大惠亚医院2020年-2022年除四害服务采购项目公开招标公告'],['2019-10-15'],['2019-11-07'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da5870c91493.html']
['升级环检车间尾气检验仪器设备系统(重招）招标公告'],['2019-10-15'],['2019-10-23'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da585c6b007d.html']
['信宜紫金矿业银岩锡矿尾矿库治理修复工程竞争性磋商公告'],['2019-10-15'],['2019-10-30'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da57df3c8f46.html']
['惠州市中大惠亚医院购置2019年度第六批医疗设备采购项目公开招标公告'],['2019-10-14'],['2019-11-08'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da43f7ec8e1c.html']
['惠州市中大惠亚医院购置2019年急诊科三线救护车医疗设备采购 项目公开招标公告'],['2019-10-14'],['2019-11-07'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da43e274b846.html']
['中山市中医院太阳能热水系统改造项目招标公告'],['2019-10-14'],['2019-11-05'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da43c71ba0d3.html']
['中山市国防教育训练基地瓶装液化石油气供应商采购项目Ⅱ招标公告'],['2019-10-14'],['2019-11-07'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da43b7c939e9.html']
['第六小学新教学楼信息化设备采购竞争性磋商公告'],['2019-10-14'],['2019-10-25'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da4390cc9168.html']
['2019年中山市市场监督管理局流通领域商品质量监督抽查服务采购项目（01包）竞争性谈判公告'],['2019-10-14'],['2019-10-23'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da435e725753.html']
['2019年中山市市场监督管理局流通领域商品质量监督抽查服务采购项目(02包、03包、04包、05包)单一来源采购公告'],['2019-10-14'],['2019-10-23'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da435b801db4.html']
['中山市城市管理和综合执法局古镇执法分局2019年拆违项目公开招标公告'],['2019-10-14'],['2019-11-05'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da432f70275f.html']
['上海浦东发展银行股份有限公司广州分行收单外包维护供应商招标项目（第二批）公开招标公告'],['2019-10-14'],['2019-11-05'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da42d644e0cb.html']
['《增城区深化全域旅游发展规划实施方案》编制项目中标公告'],['2019-10-14'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da4267e91e39.html']
['广州市花都区水务局花都区碧道建设规划编制项目招标公告'],['2019-10-14'],['2019-11-05'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da3fa9b9cb3a.html']
['信宜市X603线、X621线、X647线、X648线、X650线、X651线公路畅返不畅整治工程竞争性磋商公告'],['2019-10-14'],['2019-10-29'],['http://www.zztender.com/tender/5bf4e003ebfca/p-zz71911027.html']
['信宜市Y278线、Y416线公路畅返不畅整治工程竞争性磋商公告'],['2019-10-14'],['2019-10-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da3de95144da.html']
['信宜市Y323线、Y324线、Y326线公路畅返不畅整治工程竞争性磋商公告'],['2019-10-14'],['2019-10-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da3dd3e1bba3.html']
['信宜市Y302线、Y309线、Y471线公路畅返不畅整治工程竞争性磋商公告'],['2019-10-14'],['2019-10-25'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da3db2c19b22.html']
['信宜市Y255线、Y258线、Y299线、Y294线、Y399线、Y523线公路畅返不畅整治工程竞争性磋商公告'],['2019-10-14'],['2019-10-25'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da3d9adaf073.html']
['中山市古镇人民医院复印机租赁项目 磋商公告'],['2019-10-12'],['2019-10-24'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da1a0341f1f4.html']
['佛山市高明区交通运输局2019-2020年度养护车、养护机械设备、公务车维修备选单位采购项目公开招标公告'],['2019-10-11'],['2019-11-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da19772e39d6.html']
['惠州市公安局仲恺高新技术产业开发区分局禁毒宣传用品供应资格服务项目'],['2019-10-12'],['2019-10-25'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da17bd74f37c.html']
['财经学院实训基地（五号楼）环境布置项目公开招标公告'],['2019-10-12'],['2019-11-04'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da1733e4a720.html']
['惠州市中大惠亚医院PACS工作站扩容项目公开招标公告'],['2019-10-12'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da14f3ed22c5.html']
['惠州市中大惠亚医院网络安全管理系统升级项目公开招标公告'],['2019-10-12'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da14f084989d.html']
['惠州市中大惠亚医院广东省工伤保险联网结算接口改造项目公开招标公告'],['2019-10-12'],['2019-11-05'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da14f04aa812.html']
['惠州市中大惠亚医院手术麻醉系统及配套硬件项目公开招标公告'],['2019-10-12'],['2019-11-05'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da14ed4af464.html']
['惠州市中大惠亚医院检验系统升级改造项目公开招标公告'],['2019-10-12'],['2019-11-05'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da14e9c7cc19.html']
['中山市中顺大围工程管理处辅助岗位政府购买服务项目招标公告'],['2019-10-12'],['2019-11-04'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da14ae3750aa.html']
['中山火炬开发区张家边社区美丽宜居村申报服务采购项目磋商公告'],['2019-10-11'],['2019-10-28'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da051e155c4d.html']
['广东省中山市中级人民法院档案管理辅助事务服务项目招标公告'],['2019-10-11'],['2019-11-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da04fd6994ff.html']
['中山市2019年度小榄菊花展会灯光长廊采购项目询价邀请函'],['2019-10-11'],['2019-10-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da04b274ad43.html']
['中山市2019年度小榄菊花展会舞台设备租赁项目询价邀请函'],['2019-10-11'],['2019-10-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da04aec31324.html']
['高明区动态人脸识别系统项目监理服务采购项目竞争性谈判公告'],['2019-10-11'],['2019-10-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da0492a6dc70.html']
['应急管理厅摄像服务项目竞争性磋商公告'],['2019-10-11'],['2019-10-23'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5da047d2dd535.html']
['中山职业技术学院2019年无损检测中心设备采购项目(第2次)招标公告'],['2019-10-11'],['2019-11-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d9fdef233c82.html']
['广东省东莞军分区视频会议系统采购项目招标信息公告'],['2019-10-10'],['2019-11-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d9efe74c73d0.html']
['惠州市第三人民医院大规模足脊筛查软件技术平台与运维服务项目竞争性磋商公告'],['2019-10-10'],['2019-10-25'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d9ef9a8b018d.html']
['广州番禺职业技术学院师生公寓日常维修更换水泵项目竞争性磋商公告'],['2019-10-10'],['2019-10-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d9ed02502a31.html']
['广州番禺职业技术学院2019年校运会服装采购竞争性磋商公告'],['2019-10-10'],['2019-10-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d9eac017a1c1.html']
['广东省妇幼保健院采购医疗设备招标项目（2019-18）公开招标公告'],['2019-10-10'],['2019-10-31'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d9ea299c8bec.html']
['广州市从化区文化广电旅游体育局 2019中国山地马拉松系列赛-广州从化山地马拉松赛（国际赛）—后勤保障服务项目（重招）招标公告'],['2019-10-09'],['2019-10-30'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d9da0d3ee835.html']
['信宜市人民医院全自动生化分析仪采购项目公开招标公告'],['2019-10-08'],['2019-10-29'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d9c4fc0e5f09.html']
['广州番禺职业技术学院“智能制造专业群实训室增补设备及辅助工具”项目（重招2）竞争性磋商公告'],['2019-10-08'],['2019-10-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d9c19c04752c.html']
['《增城区深化全域旅游发展规划实施方案》编制项目公开比选公告'],['2019-10-08'],['2019-10-12'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d9c195d3c4fe.html']
['佛山农村商业银行股份有限公司2019年安全产品年保服务项目公开招标公告'],['2019-10-08'],['2019-10-29'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d9c187d17f07.html']
['惠州市中大惠亚医院配电房电容器设备采购项目（第三次招标）公开招标公告'],['2019-10-08'],['2019-10-31'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d9bf9b3aa07a.html']
['平塘镇罗罅至北中公路窄路基路面拓宽工程竞争性磋商公告'],['2019-09-30'],['2019-10-22'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d91db4464a4c.html']
['平塘镇深坳至湘垌公路窄路基路面拓宽工程竞争性磋商公告'],['2019-09-30'],['2019-10-22'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d91da7f97e3c.html']
['信宜市新宝镇乡道Y340线新宝至合水排东（横源段）窄路拓宽改造工程竞争性磋商公告'],['2019-09-30'],['2019-10-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d91d4f5d84fd.html']
['广州番禺职业技术学院人事档案改版和整理项目（重招）询价采购公告'],['2019-09-30'],['2019-10-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d91d4a474292.html']
['舰艇救生和消防设备检修采购项目公开招标公告'],['2019-09-30'],['2019-10-22'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d91d19f024ee.html']
['武警湛江支队士官公寓楼及附属设施改造工程项目补充公告'],['2019-09-30'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d91c60422fd4.html']
['广东东源农村商业银行股份有限公司自助设备完善IP对讲系统安装工程采购项目公开招标公告'],['2019-09-30'],['2019-10-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d91c24f98e4b.html']
['广州气象卫星地面站消防系统维修改造竞争性磋商公告'],['2019-09-30'],['2019-10-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d91b7e1b2448.html']
['广东省温泉企业公司1#、2#、3#、4#厂房消防设施购置及安装项目公开招标公告'],['2019-09-30'],['2019-10-22'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d91b0f0c4f90.html']
['中山市公安局电子物证检验设备采购项目的公开招标公告'],['2019-09-30'],['2019-10-29'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d91ab61c479f.html']
['中山农产品交易中心蔬果装卸业务经营权招标项目招标公告'],['2019-09-30'],['2019-10-22'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d91a0dd1f65b.html']
['东莞市企石镇社区卫生服务中心污水处理设备采购项目竞争性谈判公告'],['2019-09-29'],['2019-10-10'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d907739c3999.html']
['南区树涌大围泵站重建工程竞争性谈判公告'],['2019-09-29'],['2019-10-12'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d90734a9fc8a.html']
['广东烟草湛江市有限公司2019年终端形象提升项目招标公告'],['2019-09-29'],['2019-10-21'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d906fe23466f.html']
['信宜市Y279线、Y281线、Y282线、Y283线、Y371线公路畅返不畅整治工程竞争性磋商'],['2019-09-29'],['2019-10-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d906d694004a.html']
['茂名信宜市省道S278线K18+942～K19+082段水毁修复工程竞争性磋商公告'],['2019-09-29'],['2019-10-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d906d070c415.html']
['信宜市Y408线、Y404线、Y347线、Y356线、Y412线、Y462线公路畅返不畅整治工程招标公告'],['2019-09-29'],['2019-10-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d9061d77e5a4.html']
['信宜市Y380线、Y378线、Y379线、Y273线、Y395线、Y381线、Y383线、Y363线、Y388线、Y387线、Y367线、Y386线、Y385线公路畅返不畅整治工程招标公告'],['2019-09-29'],['2019-10-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d905fdf8a70e.html']
['信宜市Y315线、Y316线、Y400线、Y320线、Y410线公路畅返不畅整治工程招标公告'],['2019-09-29'],['2019-10-16'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d905e07a39f5.html']
['信宜市Y286线、Y287线、Y285线、Y482线、Y460线、Y488线、Y284线、Y401线公路畅返不畅整治工程招标公告'],['2019-09-29'],['2019-10-16'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d905b8e0685b.html']
['广州石化中学信息化运维项目竞争性磋商公告'],['2019-09-29'],['2019-10-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d9059db602fa.html']
['信宜市X629大平线安莪段畅返不畅整治工程招标公告'],['2019-09-29'],['2019-10-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d9059a263ec2.html']
['信宜市Y271线、Y269线、Y268线、Y272线、Y526线、Y515线公路畅返不畅整治工程招标公告'],['2019-09-29'],['2019-10-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d90284d9fbdc.html']
['信宜市Y241线、Y418线、Y438线、Y243线、Y251线、Y248线公路畅返不畅整治工程招标公告'],['2019-09-29'],['2019-10-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d902651d2956.html']
['信宜市Y265线公路畅返不畅整治工程招标公告'],['2019-09-29'],['2019-10-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d902471b472b.html']
['中山市第二人民法院数字法庭建设项目招标公告'],['2019-09-27'],['2019-10-23'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8dde1f40368.html']
['中山市古镇人民医院布类洗涤项目 单一来源采购公示'],['2019-09-27'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8dd48c19111.html']
['中山市2019年度小榄菊花展会园内设施维护工程项目询价邀请函'],['2019-09-27'],['2019-10-11'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8dd309da9af.html']
['中山市中医院多通道输液工作站采购项目公开招标公告'],['2019-09-27'],['2019-10-22'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8db863c2159.html']
['惠州市第三人民医院多功能血泵等医疗设备采购项目竞争性磋商公告'],['2019-09-27'],['2019-10-11'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8d7e1c4147c.html']
['广州气象卫星地面站西侧挡土墙工程竞争性磋商公告'],['2019-09-26'],['2019-10-12'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8c854163571.html']
['佛山市高明区教师发展中心食材采购配送项目竞争性磋商公告'],['2019-09-26'],['2019-10-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8c8332381b6.html']
['升级环检车间尾气检验仪器设备系统'],['2019-09-26'],['2019-10-10'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8c81f86a0f5.html']
['中山市南朗镇社会事务局“长者安康工程”大米采购项目Ⅱ'],['2019-09-26'],['2019-10-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8c7ac6c8a70.html']
['松山湖青少年活动中心音乐乐器采购招标信息公告'],['2019-09-26'],['2019-10-16'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8c6e4e44525.html']
['中山市环境监测站原子吸收光谱仪、气相分子吸收光谱仪、TOC总有机碳分析仪采购项目招标公告'],['2019-09-26'],['2019-10-18'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8c6c22265ec.html']
['惠州市第三人民医院病人生活陪护服务项目竞争性磋商公告'],['2019-09-26'],['2019-10-14'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8c6887c0de3.html']
['2019年鼠疫及鼠传疾病相关监测试剂耗材采购项目Ⅱ询价采购公告'],['2019-09-26'],['2019-10-09'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8c1db5ee2c5.html']
['广东省2019年群众食品安全满意度调查项目公开招标公告'],['2019-09-25'],['2019-10-16'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8b304be9408.html']
['中国邮政集团公司广州市分公司2019年深耕客户宣传采购项目招标公告'],['2019-09-25'],['2019-10-16'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8b1db0694ad.html']
['中山市市场监督管理局“阳光食品”APP购买服务项目招标公告'],['2019-09-25'],['2019-10-22'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8b1c0836ec5.html']
['珠海分行2019年食堂食材采购项目公开招标公告'],['2019-09-25'],['2019-10-16'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8b13bcee076.html']
['华南理工大学大/小鼠IVC采购项目招标公告'],['2019-09-25'],['2019-10-17'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8b1218d86f7.html']
['广州工程技术职业学院国庆慰问品采购项目（重招）公开比选公告'],['2019-09-24'],['2019-09-29'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d89e7a4b0f86.html']
['渔沙坦村盛达公司办公楼电梯设备更换采购项目公开招标公告'],['2019-09-24'],['2019-10-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d89e475231c4.html']
['2019年中山市市场监督管理局流通领域商品质量监督抽查服务采购项目(02包、03包、04包、05包)单一来源采购公示'],['2019-09-24'],['1970-01-01'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d89e230ec584.html']
['广东省中山市中级人民法院档案管理辅助事务服务项目采购需求征求意见公告'],['2019-09-24'],['2019-11-20'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d89d200c0f4c.html']
['惠州市第三人民医院心电监护仪等医疗设备采购项目竞争性磋商公告'],['2019-09-24'],['2019-10-09'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d89979934854.html']
['广东省春晟综合加工厂办公用品采购项目竞争性磋商公告'],['2019-09-23'],['2019-10-09'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d8893f407ee0.html']
['中山市小榄人民医院UPS采购项目竞争性磋商公告'],['2019-09-23'],['2019-10-09'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d883ba0edd3d.html']
['中山市石岐区公有资产投资有限公司前台办事人员劳务外包服务项目(第二次) 招标公告'],['2019-09-23'],['2019-10-15'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d88367d18187.html']
['信宜市城乡建设用地增减挂钩镇隆镇项目拆旧区复垦方案编制（土地清查、项目测绘、项目设计与预算）和竣工验收材料编制服务项目公开招标公告'],['2019-09-20'],['2019-10-11'],['http://www.zztender.com/tender/5bf4e003ebfca/p-5d84a3f1bf00a.html']
