公告标题,序号,发布日期,跳转链接 
['广东韶关乳源大布二期风电场工程直流系统及交流不停电电源（UPS）系统设备采购招标公告'],[招标编号0877-18GZTP04G233,(2018-06-13),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163f8462c6a0316']
['广东韶关乳源大布二期风电场工程110kV有载调压三相双绕组交流电力变压器和主变压器中性点接地保护装置采购项目招标公告'],[招标编号0877-18GZTP04G232,(2018-06-13),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163f845686e0315']
['广东韶关乳源大布二期风电场工程110kV 六氟化硫气体绝缘金属封闭开关设备（GIS）、110kV 交流无间隙金属氧化锌避雷器及110kV 电容式电压互感器采购项目招标公告'],[招标编号0877-18GZTP04G231,(2018-06-13),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163f843bd030314']
['广东韶关乳源大布二期风电场工程35kV无功补偿成套装置(SVG) 采购项目招标公告'],[招标编号0877-18GZTP04G230,(2018-06-13),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163f84309cf0313']
['广东韶关乳源大布二期风电场工程35kV箱式变电站、35kV中性点小电阻接地成套装置及站用配电干式变压器设备采购项目招标公告'],[招标编号0877-18GZTP04G229,(2018-06-13),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163f8424cb30312']
['广州市白云区人民政府嘉禾街道办事处家庭综合服务采购项目'],[招标编号0877-18GZTP01D092,(2018-06-13),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163f8207add0311']
['广东省妇幼保健院采购医疗设备招标项目（2018-06）'],[招标编号0877-18GZTP04K249,(2018-06-13),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163f7d80b26030e']
['广州市工贸技师学院《市工贸学院学生宿舍维修工程项目》、《市工贸学院节能改造维修工程项目》工程监理招标公告'],[招标编号0877-18GZTP04H175,(2018-06-12),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163f6fdb2c9030b']
['广州市南沙区万顷沙镇生活垃圾收运服务采购项目'],[招标编号0877-18GZTP01F239,(2018-06-12),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163f2e7eaed0308']
['广州市增城区正果镇人民政府“拆违”应急物资购置和城管队员制服购置项目招标公告'],[招标编号0877-18GZTP04H183,(2018-06-12),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163f22764970306']
['2018-2020年度公用耗材及办公用品等定点供应商采购项目招标公告'],[招标编号0877-18GZTP04H176,(2018-06-11),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163ede311670304']
['广东省女子监狱新建医院设备购置项目（重招）招标公告'],[招标编号0877-18GZTP01J132-1,(2018-06-11),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163ed785dca0303']
['市教育局广州卫职院创新强校工程之医学检验技术专业教学资源建设购置经费项目招标公告'],[招标编号0877-18GZTP04H238,(2018-06-11),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163ecd8251c0300']
['广东省妇幼保健院布类物资洗涤服务采购项目（重招）'],[招标编号0877-18GZTP04D098-1,(2018-06-08),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163deae7e7002ff']
['广州动物园科普设施经费项目招标公告'],[招标编号0877-18GZTP01C119,(2018-06-08),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163de5ac85e02fe']
['广州市工人疗养院餐厅装修改造设计及给排水主干管改造设计项目竞争性磋商'],[招标编号0877-18GZTP04H244,(2018-06-08),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163dd7bcdbd02fd']
['广州市交通技校沙太校区1000KVA供电增容监理服务项目（重招）竞争性磋商'],[招标编号0877-18GZTP04H139-1,(2018-06-08),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163dd3b574802fa']
['广州市交通高级技工学校沙太校区教学场地维修改造监理服务项目（重招）竞争性磋商'],[招标编号0877-18GZTP04H171-1,(2018-06-08),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163dd382c4102f9']
['中国人民解放军31626部队车辆动态监控设施建设采购项目 '],[招标编号0877-18GZTP04F251,(2018-06-07),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163d97e47a502f3']
['2018年阳西县地表水环境监测采购项目'],[招标编号0877-18GZTP04M259,(2018-06-07),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163d93e086c02f2']
['广州市黄埔区玉泉学校第二食堂承包服务招标公告'],[招标编号0877-18GZTP04H224 ,(2018-06-07),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163d8d110e002f1']
['阳江市公安局刑警支队DNA实验室仪器设备采购项目公开招标公告'],[招标编号0877-18GZTP01N211,(2018-06-07),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163d7fc829702ef']
['广州市水上运动管理中心劳务派遣服务采购项目招标公告'],[招标编号0877-18GZTP01H190,(2018-06-05),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163cf034eac02e8']
['中国南方人才市场管理委员会办公室公交车广告宣传项目招标公告'],[招标编号0877-18GZTP04H195,(2018-06-05),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163cec882e902e7']
['阳江市公安局刑警支队2018年案件DNA试剂耗材采购项目公开招标公告'],[招标编号0877-18GZTP01N210,(2018-06-05),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163cebb53c402e6']
['广州市执信中学水荫路校区实验室设备采购项目招标公告'],[招标编号0877-18GZTP04H245,(2018-06-05),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163cdd9d05a02e5']
['北江航道扩能升级项目液压启闭机采购项目资格预审公告'],[招标编号0877-17GZTP04A728,(2018-06-04),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163c9f9f9e402e3']
['广州从化珠江啤酒分装有限公司4台2t/h燃气锅炉采购安装及相关服务'],[招标编号0877-17GZTP04A653,(2018-06-04),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163c98ec64402e1']
['广州市交通高级技工学校LED显示屏购置项目招标公告'],[招标编号0877-18GZTP04H206,(2018-06-04),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163c8f1e77302df']
['阳西县2018年度河砂销售场保安服务采购项目竞争性磋商采购公告'],[招标编号0877-18GZTP04N137,(2018-06-04),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163c8b5325602de']
['2018年广东“众创杯”大学生启航赛暨“赢在广州”第七届大学生创业大赛总体策划执行服务项目招标公告'],[招标编号0877-18GZTP04H199,(2018-06-01),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163ba96473002dc']
['2018年广东“众创杯”大学生启航赛暨 “赢在广州”第七届大学生创业大赛活动制作播出项目招标公告'],[招标编号0877-18GZTP04H198,(2018-06-01),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163ba9487b402db']
['基于E-航海的海上安全信息综合服务系统'],[招标编号0877-18GZTP04F170,(2018-06-01),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163ba29cb1f02d7']
['广东省广州监狱防暴装备采购项目'],[招标编号0877-18GZTP04F141,(2018-06-01),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163ba28ea0e02d6']
['广东省妇幼保健医院越秀院区检验科改造项目'],[招标编号0877-18GZTP04D124,(2018-06-01),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163ba26e2db02d5']
['广东省轻工业高级技工学校东校区食堂承包经营项目'],[招标编号0877-18GZTP04H212,(2018-06-01),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163b98540fc02d3']
['广东省经济贸易职业技术学校《第一、第二饭堂经营承包》项目'],[招标编号0877-18GZTP04F179,(2018-05-31),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163b5a4631e02d2']
['共青团广州市南沙区委员会2018年港澳青年学生实习住宿服务采购项目'],[招标编号0877-18GZTP04F201,(2018-05-31),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163b45dae9702cd']
['南海航海保障中心航保中心设施风险评估及管控系统项目(重招)'],[招标编号0877-18GZTP01F136-1,(2018-05-31),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163b3df5ba002cc']
['广州市残疾人体育运动中心采购广州市残疾人艺术培育教材教具及服装采购项目招标公告'],[招标编号0877-18GZTP01H143,(2018-05-30),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163afcbbe3602c9']
['广州市轻工高级技工学校机电系电梯安装与维修、工业设计、安全技术管理实训基地建设项目招标公告'],[招标编号0877-18GZTP01H187,(2018-05-30),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163ae9bcba002c8']
['市教育局广州卫职院2017-2018年体育设备器材更新购置项目'],[招标编号0877-18GZTP04C078,(2018-05-29),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163ab137d9a02c6']
['广州卫生职业技术学院宣传服务定点供应商资格采购项目'],[招标编号0877-18GZTP04C069,(2018-05-29),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163ab12984902c5']
['学生体质测试服务商招标项目'],[招标编号0877-18GZTP04C127,(2018-05-29),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163aac81d1f02c2']
['广州市水上运动管理中心市级体彩公益金补助广州市水上运动管理中心承办广州横渡珠江活动经费招标公告'],[招标编号0877-18GZTP01C095,(2018-05-29),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163a999c4ec02be']
['广东省肇庆监狱监舍小组家具采购项目'],[招标编号0877-18GZTP01F174,(2018-05-28),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163a59f11b202bc']
['广州市广百股份有限公司计算机采购项目招标公告'],[招标编号0877-18GZTP04H207,(2018-05-28),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163a4dd109902b9']
['市教育局卫职院消防器材课桌椅窗帘购置经费(子包二课桌椅窗帘购置)招标公告'],[招标编号0877-18GZTP04H163,(2018-05-28),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163a48ed5d302b8']
['广州市工贸技师学院创业孵化基地场地改造项目招标公告'],[招标编号0877-18GZTP04H221,(2018-05-25),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163a424db8902b7']
['广东省妇幼保健院采购医疗设备招标项目（2018-05）'],[招标编号0877-18GZTP04K180,(2018-05-25),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016396372b6702b0']
['广州市工人疗养院餐厅服务招标公告'],[招标编号0877-18GZTP04H208,(2018-05-25),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01639631629d02af']
['广州市工人疗养院餐厅食材供应商采购项目招标公告'],[招标编号0877-18GZTP04H209,(2018-05-25),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01639630c48902ae']
['广州市轻工高级技工学校现代制造产业系柔性制造及数控加工自动化实训平台建设项目招标公告'],[招标编号0877-18GZTP01H188,(2018-05-25),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016396287d9802ad']
['广州市海珠区人民政府南石头街道办事处家庭综合服务采购项目招标公告'],[招标编号0877-18GZTP01F177,(2018-05-25),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163956243b502ac']
['广州市海珠区体育场馆全民健身中心物业招租项目'],[招标编号0877-18GZTP04F153,(2018-05-23),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163aaed3c5502c3']
['阳光农业相互保险公司广东分公司汽车采购项目（重招）招标公告'],[招标编号0877-18GZTP04H148-1,(2018-05-23),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01638a8df04e02a2']
['水利工程安全生产现场整改工程招标公告'],[招标编号0877-18GZTP04P203,(2018-05-22),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016386f58ca102a0']
['2018年广东省医疗器械质量监督检验所无线宽带测试系统采购项目招标公告'],[招标编号0877-18GZTP01H185,(2018-05-22),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01638673a55b029d']
['广州市射击射箭运动管理中心25米电子靶购置项目招标公告'],[招标编号0877-18GZTP01H146,(2018-05-21),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016381f0afc4029c']
['广州市交通高级技工学校沙太校区教学场地维修改造监理服务项目招标公告'],[招标编号0877-18GZTP04H171,(2018-05-21),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016381c30373029a']
['广州市交通技校沙太校区1000KVA供电增容监理服务项目招标公告'],[招标编号0877-18GZTP04H139,(2018-05-21),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016381c223110299']
['广州市海珠区人民政府昌岗街道办事处家庭综合服务采购项目'],[招标编号0877-18GZTP01D107,(2018-05-21),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016381b604db0298']
['广州市海珠区人民政府龙凤街幸福家庭促进计划服务采购项目'],[招标编号0877-18GZTP04K167,(2018-05-21),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016381aeedba0297']
['阳江市公安消防局第二期消防器材装备采购项目'],[招标编号0877-18GZTP04N196,(2018-05-18),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163726e8e3f028d']
['广州市射击射箭运动管理中心其他体育用品购置项目'],[招标编号0877-18GZTP01C104,(2018-05-18),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163723a5af8028c']
['广州市白云区退休职工管理委员会办公室居家养老探访服务采购项目'],[招标编号0877-18GZTP01F157,(2018-05-18),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163721a1053028b']
['标准资料更新工作经费招标公告'],[招标编号0877-18GZTP04H165,(2018-05-18),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163713c3e150287']
['广东省肇庆监狱手持式无线对讲机采购项目'],[招标编号0877-18GZTP04F173,(2018-05-18),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01637111e20a0286']
['广东省肇庆监狱电瓶车采购项目'],[招标编号0877-18GZTP04F172,(2018-05-17),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01636d75eebf0283']
['广东省肇庆监狱饮水机采购项目（重招）'],[招标编号0877-18GZTP04D074-1,(2018-05-17),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01636d740a890282']
['阳西县河北渔港疏浚工程与渔港服务区建设PPP项目资格预审公告'],[招标编号0877-18GZTP01N189,(2018-05-17),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01636d65a6d90281']
['浙江大学华南工业技术研究院办公场空调设备系统采购项目招标公告'],[招标编号0877-18GZTP04J186,(2018-05-17),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01636d5f16640280']
['广东省女子监狱新建医院设备购置项目招标公告'],[招标编号0877-18GZTP01J132,(2018-05-17),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01636d55fdf7027f']
['2018中国创新创业成果交易会总体服务采购项目采购公告'],[招标编号0877-18GZTP01H134,(2018-05-16),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016367e8bdc4027b']
['中山火炬职业技术学院体质测试设备采购项目招标公告'],[招标编号0877-18GZTP04ZS096,(2018-05-15),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016363136ce60277']
['南方医科大学皮肤病医院医疗设备采购项目Q201805'],[招标编号0877-18GZTP04F152,(2018-05-15),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016362fe01b20276']
['广州卫生职业技术学院白云校区电力变压器购置项目(重招)'],[招标编号0877-18GZTP04C103-1,(2018-05-15),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016362cad8e20275']
['广州市白云区人民政府永平街道办事处家庭综合服务采购项目'],[招标编号0877-18GZTP01D085,(2018-05-15),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016361ced1170270']
['广州市青年文化宫文艺培训部舞蹈服装、美术罩衣采购资格供货商'],[招标编号0877-18GZTP04C037,(2018-05-11),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01634e92d3550268']
['广州市番禺有线数字电视网络有限公司互动平台安全设备采购项目'],[招标编号0877-18GZTP04F138,(2018-05-11),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01634e4e43050267']
['南方医科大学口腔医院（广东省口腔医院）诊室边柜订制及相关服务采购项目'],[招标编号0877-18GZTP04K151,(2018-05-11),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01634df3f5e90266']
['滨州粤水电沾化滨海一期80MW风电场工程35kV电缆、1kV动力电缆、450/750V控制电缆及电缆终端附件采购项目'],[招标编号0877-18GZTP04G166,(2018-05-10),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163495b7d0c0265']
['阳江市公安局警用无人机设备采购项目公开招标公告'],[招标编号0877-18GZTP04B120,(2018-05-10),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016347ab764f0261']
['阳江市看守所留置专区视频监控系统项目公开招标公告 '],[招标编号0877-18GZTP01N150,(2018-05-10),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016347a453400260']
['中山市三角医院医疗设备维护保养采购项目（第三次）招标公告'],[招标编号0877-18GZTP04ZS017-2,(2018-05-09),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016343fdec9f025d']
['广东省妇幼保健院采购医疗设备招标项目（2018-04）'],[招标编号0877-18GZTP04D114,(2018-05-09),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016343abf90b0259']
['阳光农业相互保险公司广东分公司电脑和打印机采购招标公告'],[招标编号0877-18GZTP04H164,(2018-05-08),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01633e87e8960255']
['广州市标准化研究院职工饭堂食材配送服务项目(第二次重招)'],[招标编号0877-18GZTP01C032-2,(2018-05-08),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01633daa06bc0253']
['广东省妇幼保健院番禺院区液氧站迁移工程项目'],[招标编号0877-18GZTP04K142,(2018-05-04),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01632a5ba913024f']
['广州卫生职业技术学院白云校区电力变压器购置项目'],[招标编号0877-18GZTP04C103,(2018-05-04),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01632a4acc70024e']
['2018-2020级学生公寓床上用品采购项目'],[招标编号0877-18GZTP04H131,(2018-05-04),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01632a2cc234024d']
['阳光农业相互保险公司广东分公司汽车采购项目招标公告'],[招标编号0877-18GZTP04H148,(2018-05-04),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163290e1b4a0249']
['三菱重工东方燃气轮机（广州）有限公司中央空调改造项目招标公告'],[招标编号0877-18GZTP04H140,(2018-04-28),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01630b6b1eef0241']
['广州市黄埔区怡园小学校园改造工程设计服务项目'],[招标编号0877-18GZTP04C111,(2018-04-28),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01630b4f3c5c0240']
['广州市黄埔区怡园小学校园改造工程监理服务项目'],[招标编号0877-18GZTP04C112,(2018-04-28),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01630b4a2af4023f']
['南海航海保障中心航保中心设施风险评估及管控系统项目'],[招标编号0877-18GZTP01F136,(2018-04-28),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01630b45837c023e']
['广州市增城区正果镇人民政府“拆违”工作人员工作服和装备购置项目'],[招标编号0877-18GZTP04H135,(2018-04-28),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01630aafb73f0239']
['广东省妇幼保健院采购医疗设备招标项目（2018-02）'],[招标编号0877-18GZTP04D065,(2018-04-27),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016323939d000245']
['广东省花城服装厂警服面料供货资格采购项目'],[招标编号0877-18GZTP04D081,(2018-04-26),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0163013050ff0236']
['广州卫生职业技术学院白云校区污水处理运维服务项目'],[招标编号0877-18GZTP04C109,(2018-04-24),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162f690c1a5022d']
['广东省广州监狱罪犯回归指导中心改造项目配套设备采购'],[招标编号0877-18GZTP01D123,(2018-04-23),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162f1eb65ed022a']
['广州市青年文化宫广州青少年北欧文化艺术交流夏令营（带队工作人员）服务项目'],[招标编号0877-18GZTP04C108,(2018-04-23),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162f187b7130228']
['2018年养殖险防灾减灾用品（二）及养殖险协保体系建设用品购置项目（重招）'],[招标编号0877-18GZTP04C100-1,(2018-04-20),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162e28508410226']
['广百大数据分析基础平台设备采购项目'],[招标编号0877-18GZTP04C129,(2018-04-20),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162e1e272eb0220']
['广州市教育局广州卫职院文献资料购置项目(子包一)'],[招标编号0877-18GZTP04C062,(2018-04-19),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162dbe434ae0214']
['西沙、南沙航标处业务用房改造项目'],[招标编号0877-18GZTP01D115,(2018-04-18),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01639659c3ed02b3']
['广州市白云区人民政府同德街道办事处家庭综合服务采购项目（重招）'],[招标编号0877-18GZTP01D022-1,(2018-04-18),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162d7dc190e0211']
['阳江市大河水库管护中心配电设备采购及安装项目公开招标公告 '],[招标编号0877-18GZTP01B122 ,(2018-04-18),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162d6b1abb00210']
['阳江市阳东区恒财河砂经营有限公司2018年度保安服务采购项目竞争性磋商公告'],[招标编号0877-18GZTP04B082,(2018-04-18),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162d6881f1c020f']
['广州市海珠区人民政府江海街道办事处家庭综合服务采购项目'],[招标编号0877-18GZTP01D117,(2018-04-18),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162d67ca645020e']
['广东省二沙体育训练中心2018-2019年两年度营养调控品资格供应商采购项目（重招） '],[招标编号0877-18GZTP01C087-1,(2018-04-16),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162d2dc5e80020d']
['广东省二沙体育训练中心2018-2019年两年度实验室耗材资格供应商采购项目（重招）'],[招标编号0877-18GZTP01C086-1 ,(2018-04-16),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162d2db5818020c']
['广州南沙珠江啤酒有限公司柔性线二期输送系统采购项目招标公告'],[招标编号0877-18GZTP04A116,(2018-04-16),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162cd5bac650207']
['广州市海珠区人民政府龙凤街居家养老综合服务平台'],[招标编号0877-18GZTP04D094,(2018-04-13),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162be11ae290205']
['广东省肇庆监狱大门及相关配置采购项目'],[招标编号0877-18GZTP04D113,(2018-04-13),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162bdd2c0c20204']
['广东省二沙体育训练中心2018-2019年两年度营养调控品资格供应商采购项目 '],[招标编号0877-18GZTP01C087,(2018-04-13),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162bd3060190202']
['广东省二沙体育训练中心2018-2019年两年度实验室耗材资格供应商采购项目'],[招标编号0877-18GZTP01C086 ,(2018-04-13),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162bd2f36b60201']
['阳春市河流水库水质监测服务采购项目'],[招标编号0877-18GZTP04B110,(2018-04-13),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162bcb8c9e101fe']
['广东省妇幼保健院布类物资洗涤服务采购项目'],[招标编号0877-18GZTP04D098,(2018-04-12),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162b914c18301fd']
['广东省妇幼保健院监护型救护车采购项目'],[招标编号0877-18GZTP04D072,(2018-04-12),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162b913b0bc01fc']
['南方医科大学皮肤病医院医疗设备采购项目Q201804'],[招标编号0877-18GZTP04D102,(2018-04-12),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162b7ea49f701fb']
['广东省广州监狱职工食堂食材原料采购项目'],[招标编号0877-18GZTP01D003,(2018-04-11),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162b40a764501fa']
['广州市海珠区人民政府江南中街道办事处家庭综合服务采购项目'],[招标编号0877-18GZTP01D042,(2018-04-11),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162b396b6d901f6']
['广州市标准化研究院职工饭堂食材配送项目(重招)'],[招标编号0877-18GZTP01C032-1,(2018-04-10),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162aebe098a01f5']
['县级监测预警平台完善及数据同步保障升级服务采购项目'],[招标编号0877-17GZTP01D659,(2018-04-10),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162aeb1578501f4']
['广州市海珠区人民政府官洲街道办事处家庭综合服务采购项目'],[招标编号0877-18GZTP01D055,(2018-04-10),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162ae942eec01f3']
['广州市增城区永宁街雅瑶河永宁辖区黑臭水体治理工程污染源调查以及总体方案编制服务'],[招标编号0877-18GZTP01D054,(2018-04-10),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162ad74d3c601f2']
['广东广播电视台珠江频道高清同播系统改造建设项目招标公告'],[招标编号DBB201801G022A2-1,(2018-04-09),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162a905b13701ee']
['广州市白云区食品药品监督管理局2018年快检服务采购项目'],[招标编号0877-18GZTP01A088,(2018-04-09),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162a84ae9ca01ed']
['广东省肇庆监狱饮水机采购项目'],[招标编号0877-18GZTP04D074,(2018-04-08),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162a48bff1e01ea']
['广州市海珠区人民政府官洲街道办事处官洲社区家庭综合服务采购项目'],[招标编号0877-18GZTP01D056,(2018-04-08),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162a48b0a9701e9']
['编制《陆河县产业转移工业园区规划环境影响评价》服务采购磋商公告 '],[招标编号441523-201803-606001-0002（0877-18GZTP01B105） ,(2018-04-08),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162a335142401e7']
['广州市第六中学千人会议室及体育馆舞台LED显示屏购置项目'],[招标编号0877-18GZTP01C053,(2018-04-08),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162a2fff92b01e6']
['中山市三角医院医疗设备维护保养采购项目（第二次）招标公告'],[招标编号0877-18GZTP04ZS017-1,(2018-04-08),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162a2e0ca3a01e5']
['广州市海珠区人民政府龙凤街道办事处家庭综合服务采购项目'],[招标编号0877-18GZTP01D024,(2018-04-04),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162900aab7b01e1']
['广州市工人疗养院小额项目选择供应商服务'],[招标编号0877-18GZTP04C093,(2018-04-04),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01628fb4d7f201e0']
['广东省二沙体育训练中心手机学习软件采购项目'],[招标编号0877-18GZTP04C038,(2018-04-03),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01628b0f575201de']
['2018年养殖险防灾减灾用品（二）及养殖险协保体系建设用品购置项目'],[招标编号0877-18GZTP04C100,(2018-04-03),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01628acbde5f01dd']
['广州市海珠区体育场馆全民健身中心购买体育服务项目'],[招标编号0877-18GZTP01D059,(2018-04-03),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01628a96d6cf01dc']
['广东广播电视台4K超高清电视播出系统信息安全等级保护建设（重招）招标公告'],[招标编号DBB201711G020B6-C,(2018-04-02),['http://www.gztpc.com//tender/show?id=2c929367600a95fc0162845eafe501d2']
['广州市第六中学直热循环式空气能热泵中央热水系统购置安装及配套项目'],[招标编号0877-18GZTP01C047,(2018-03-30),['http://www.gztpc.com//tender/show?id=2c929367600a95fc016284726ed501d4']
['广州市第六中学恒温泳池设备购置安装及配套项目'],[招标编号0877-18GZTP01C046,(2018-03-30),['http://www.gztpc.com//tender/show?id=2c929367600a95fc01628471789b01d3']
