标号,招标项目,时间,跳转链接 
['GZQS1601HX08016J'],['揭西县人民法院安检系统设备及配套采购项目'],['[2016-08-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9666']
['GZQS1601HC08057Z'],['广东省四会监狱完善档案库房设施采购项目竞争性磋商公告'],['[2016-08-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9663']
['GZQS1601HX08008J'],['普宁市流沙西街道社区卫生服务中心医疗设备采购项目询价采购'],['[2016-08-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9662']
['GZQS1601HX08013J'],['惠来县疾病预防控制中心疫苗冷链车采购项目询价采购'],['[2016-08-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9660']
['GZQS1601HX08014J'],['惠来县2016年农家书屋书籍及书架采购项目询价采购'],['[2016-08-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9659']
['GZQS1601HG08038'],['虎门边防派出所勤务指挥室搬迁及升级改造项目公开招标公告'],['[2016-08-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9658']
['GZQS1601HG08028'],['增城区小楼中学校园文化设备采购项目公开招标公告'],['[2016-08-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9656']
['GZQS1601HT08065Z'],['肇庆启聪学校智慧课堂学习室教学设备及电脑采购采购公告'],['[2016-08-24]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9654']
['GZQS1601HG08070'],['广东省公安厅警卫局警卫队食堂食材采购项目公开招标公告'],['[2016-08-24]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9652']
['GZQS1601FG07055Q'],['清远市职业技术学校《中职电子商务专业系列课程数字化教学资源》建设项目招标公告'],['[2016-08-24]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9650']
['GZQS1601HG08011S'],['佛山市三水区教育局电脑（教学）设备采购项目招标公告'],['[2016-08-24]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9649']
['GZQS1601FC07074'],['广东省三水强制隔离戒毒所戒毒人员心理康复服务自主采购招标项目（重招）竞争性磋商采购'],['[2016-08-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9646']
['GZQS1601FC08049'],['广东省促进企业跨国并购研究项目(项目编号：GZQS1601FC08049)竞争性磋商采购'],['[2016-08-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9645']
['GZQS1601FG03045'],['广州开发区市场监督管理局2016年度食品安全抽样检验项目（子包二重招）公开招标公告'],['[2016-08-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9644']
['GZQS1601HG08062S'],['佛山市三水区华侨中学图书馆图书采购项目招标公告'],['[2016-08-23]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9642']
['GZQS1601FG08019'],['广东省公安边防总队机关装备车辆购买保险项目公开招标公告'],['[2016-08-22]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9638']
['GZQS1601HD08061'],['广东省公安厅警卫局智能枪弹柜采购项目单一来源采购公告'],['[2016-08-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9636']
['GZQS1601HG07063'],['2016-2017年度天河区政务服务中心办公耗材采购公开招标公告'],['[2016-08-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9634']
['GZQS1601HG08040M'],['梅州市强制隔离戒毒所监所视频监控安全防护系统采购项目招标公告'],['[2016-08-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9626']
['GZQS1601HG06019M'],['梅州市人民医院椎间孔镜系统采购项目公开招标公告'],['[2016-08-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9625']
['GZQS1601FG07030SH'],['韶关市市政设施管理中心HDPE增强型中空壁缠绕管 供货资格采购项目(重招）公开招标公告'],['[2016-08-17]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9624']
['GZQS1601FG08053SH'],['广东省韶关市地方税务局机关工作人员综合管理系统建设二期项目公开招标公告'],['[2016-08-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9617']
['GZQS1601FG08054SH'],['广东省韶关市地方税务局服务厅无线网络建设项目公开招标公告'],['[2016-08-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9616']
['GZQS1601FG04003'],['中新广州知识城南安置区(一期)物业管理项目（起步区人工湖附近）公开招标公告'],['[2016-08-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9615']
['GZQS1601FG07015'],['广州市公安局基建档案数字化服务项目公开招标公告'],['[2016-08-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9613']
['GZQS1601HG07031'],['广州市公安局被监管人员食堂燃料采购公开招标公告'],['[2016-08-16]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9612']
['GZQS1601FG05024'],['广东省公安厅2016-29外购服务项目子包二重招公开招标公告'],['[2016-08-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9609']
['GZQS1601HG04029'],['广州市公安局实验室检验设备项目公开招标公告'],['[2016-08-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9607']
['GZQS1601HC05051'],['惠州市住房保障电子档案管理系统采购项目重招竞争性磋商采购'],['[2016-08-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9605']
['GZQS1601HX08043'],['广东省公安厅警卫局智能枪弹采购项目询价采购'],['[2016-08-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9604']
['GZQS1601FG06010'],['测绘成果技术审查项目公开招标公告'],['[2016-08-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9602']
['GZQS1601HG08045'],['博创智能装备股份有限公司机械设备采购项目公开招标公告'],['[2016-08-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9599']
['GZQS1601HT07070Z'],['肇庆市高要区南岸山口小学校园文化项目采购（二次）竞争性谈判公告'],['[2016-08-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9598']
['GZQS1601HT08034Z'],['肇庆市高要区南岸初级中学电脑室及录播设备采购 竞争性谈判公告'],['[2016-08-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9593']
['GZQS1601FC08008'],['国家能源局南方监管局资质管理服务项目竞争性磋商采购'],['[2016-08-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9591']
['GZQS1601HG08032S'],['佛山市三水区南山镇六和小学食堂综合楼设备采购项目招标公告'],['[2016-08-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9590']
['GZQS1601HG08031S'],['佛山市三水区南山镇六和社区教育设备采购项目招标公告'],['[2016-08-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9589']
['GZQS1601HG08020Z'],['肇庆市工业贸易学校教育信息化设备采购招标公告'],['[2016-08-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9588']
['GZQS1601FG07054Z'],['肇庆市端州区睦岗街道城镇化路网建设项目造价咨询采购项目招标公告'],['[2016-08-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9585']
['GZQS1601HG08021Z'],['肇庆市工业贸易学校新疆班一体化教学实训设备采购 招标公告'],['[2016-08-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9584']
['GZQS1601HG08002'],['广东省森林公安局高清视频会议系统建设项目公开招标公告'],['[2016-08-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9582']
['GZQS1601HG07051'],['广州民间金融街综合信息发布平台--户外LED显示设备采购项目公开招标公告'],['[2016-08-10]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9581']
['GZQS1601HG06064'],['广州市公安局番禺区分局全自动血液生化分析仪采购项目公开招标公告'],['[2016-08-09]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9579']
['GZQS1601HT08033Z'],['肇庆市图书馆征订2017年报刊采购竞争性谈判公告'],['[2016-08-09]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9578']
['GZQS1601HG08025SH'],['韶关市城市管理信息中心良村桥、五里亭大桥、帽峰桥区域联动保护系统项目公开招标公告'],['[2016-08-08]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9568']
['GZQS1601HG080S'],['佛山市三水区白坭镇社会视频监控设备采购项目招标公告'],['[2016-08-08]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9567']
['GZQS1601HJ07071Z'],['电梯、办公设备及车辆租赁服务采购项目采购公告'],['[2016-08-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9566']
['GZQS1601FC07074'],['广东省三水强制隔离戒毒所戒毒人员心理康复服务自主采购招标项目竞争性磋商采购'],['[2016-08-08]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9559']
['GZQS1601FC07011SH'],['韶关市公安局浈江分局零星维修、修缮服务资格采购项目 竞争性磋商公告'],['[2016-08-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9557']
['GZQS1601HG08018M'],['大埔县人民法院内网终端安全管理系统项目公开招标公告'],['[2016-08-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9554']
['GZQS1601HG07035Z'],['肇庆市实验中学教师电脑设备采购项目招标公告'],['[2016-08-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9552']
['GZQS1601HG07065Z'],['怀集县教育局购置教学仪器和电教设备采购项目招标公告'],['[2016-08-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9551']
['GZQS1601HX08003J'],['揭阳空港经济区登岗镇纪南小学直饮水系统设备购置及安装采购项目询价采购'],['[2016-08-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9548']
['GZQS1601GG06087'],['治疗急性心肌梗死的溶栓新药铭复乐产业化生产管理中心项目招标公告'],['[2016-08-01]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9547']
['GZQS1601HX08002J'],['惠来县惠城镇教育组教学设备采购项目询价采购'],['[2016-08-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9546']
['GZQS1601GG07001'],['广州大元帅府旧址西侧平房内部整治工程项目招标公告'],['[2016-08-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9541']
['GZQS1601HG06067'],['广东海事局快艇采购项目公开招标公告'],['[2016-08-05]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9537']
['GZQS1601HG07050Z'],['肇庆市高要区第二中学多媒体多功能阶梯教室和多媒体多功能会议室 设备采购招标公告'],['[2016-08-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9535']
['GZQS1601FG06088F'],['佛山市公安局DNA数据库建设（试剂耗材部分）资格标（2016年-2018年）采购公告'],['[2016-08-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9534']
['GZQS1601HG04076'],['广州市增城区办公耗材定点采购项目公开招标公告'],['[2016-08-04]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9533']
['GZQS1601HG08003M'],['嘉应学院医学院附属医院宫腔镜系统采购项目公开招标公告'],['[2016-08-03]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9532']
['GZQS1601FG08010SH'],['广东省韶关市地方税务局信息化监理项目公开招标公告'],['[2016-08-03]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9528']
['GZQS1601HC07043'],['市教育局广州市电子信息学校空间信息处理实训室设备购置竞争性磋商采购'],['[2016-08-03]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9527']
['GZQS1601GC06092'],['广东省四会监狱罗塘关押点医院修缮配套项目（重招）项目编号：GZQS1601GC06092 竞争性磋商采购'],['[2016-08-03]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9525']
['GZQS1601HG07025M'],['广东烟草梅州市有限公司有机肥采购项目招标公告'],['[2016-08-02]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9523']
['GZQS1601HT07070Z'],['肇庆市高要区南岸山口小学校园文化项目采购竞争性谈判公告'],['[2016-08-01]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9575']
['GZQS1601HX07006J'],['揭阳市榕城区榕东街道办事处福明学校智能录播系统采购项目询价采购'],['[2016-08-02]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9514']
['GZQS1601HX08001J'],['惠来县慈云中医院救护车采购项目询价采购'],['[2016-08-02]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9511']
['GZQS1601HX07021J'],['惠来县环境保护局环境监察装备仪器采购项目询价采购'],['[2016-08-02]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9510']
['GZQS1601FG07036Z'],['肇庆高新技术产业开发区农林水利管理中心城市水利规划编制单位采购'],['[2016-08-02]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9509']
['GZQS1601HG07069Z'],['德庆县住房和城乡规划建设局垃圾压缩车等设备采购'],['[2016-08-01]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9506']
['GZQS1601HT07064Z'],['肇庆市鼎湖区人民政府坑口办事处迪村中心小学多媒体电教平台设备及教师电脑采购公告'],['[2016-08-01]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9505']
['GZQS1601FC07066F'],['佛山国土资源和城乡规划局佛山市2016年高标准农田建设实施方案竞争性磋商公告'],['[2016-08-01]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9504']
['GZQS1601HG07067Z'],['佛山国土资源和城乡规划局佛山市永久基本农田实施方案竞争性磋商公告'],['[2016-08-01]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9503']
['GZQS1601HG04034'],['广州市公安局全自动固相萃取仪项目公开招标公告'],['[2016-07-29]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9497']
['GZQS1601FG07030SH'],['韶关市市政设施管理中心HDPE增强型中空壁缠绕管供货资格采购项目公开招标公告'],['[2016-07-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9496']
['GZQS1601HG07017J'],['揭西县特殊教育学校教学康复设备设施采购项目公开招标公告'],['[2016-07-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9495']
['GZQS1601HG07023'],['生产用配套设施采购项目公开招标公告'],['[2016-07-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9494']
['GZQS1601FG07006'],['增城博物馆宣传展板及馆藏文物标志说明牌制作、李守真真迹藏品制作及编辑服务项目公开招标公告'],['[2016-07-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9492']
['GZQS1601FG07007'],['增城博物馆搬迁服务项目公开招标公告'],['[2016-07-28]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9491']
['GZQS1601HX07018J'],['揭阳空港经济区综合政务服务管理办公室工作服采购项目询价采购'],['[2016-07-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9487']
['GZQS1601GX07016J'],['揭西县河婆街道教育组河婆小学教学楼A、B栋窗户、B栋卫生间改造采购项目询价采购'],['[2016-07-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9484']
['GZQS1601FX07011J'],['惠来县建设局生活垃圾收运处理设施专项规划编制采购项目询价采购'],['[2016-07-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9483']
['GZQS1601HX07013J'],['惠来县公安局机房升级改造及县看守所会见室电话录音系统等安装采购项目询价采购'],['[2016-07-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9482']
['GZQS1601HG07015J'],['普宁市人民政府综合政务服务管理办公室普宁市基层公共服务综合平台建设采购项目公开招标公告'],['[2016-07-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9481']
['GZQS1601HG07014J'],['惠来县南环二路（二段）路灯设备及安装采购项目公开招标公告'],['[2016-07-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9480']
['GZQS1601HT07048Z'],['肇庆市高要区地方税务局办公设备采购公告'],['[2016-07-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9479']
['GZQS1601FC06027F'],['项目管理信息系统竞争性磋商公告'],['[2016-07-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9478']
['GZQS1601FC04017'],['《广东省住房城乡建设年度报告（2015）》编撰工作项目竞争性磋商采购'],['[2016-07-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9475']
['GZQS1601FG06075'],['天河科技园土地储备项目建议书编制咨询服务项目公开招标公告'],['[2016-07-27]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9473']
['GZQS1601HG01027Z'],['肇庆市文化广电新闻出版局包公文化园广场制作室外全彩LED显示屏 项目采购招标公告'],['[2016-07-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9470']
['GZQS1601FG06038'],['中华人民共和国广东海事局“海巡31”船船员派遣项目公开招标公告'],['[2016-07-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9466']
['GZQS1601HC07047SH'],['韶关市体育局制服采购项目竞争性磋商公告'],['[2016-07-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9465']
['GZQS1601FD06031'],['2016年广州开发区基本地形图更新单一来源采购'],['[2016-07-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9463']
['GZQS1601HD07013'],['广州市公安局海珠区分局验尿杯项目单一来源采购公告'],['[2016-07-26]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9462']
['GZQS1601FT06071'],['黄埔海关总关机关单位复印机定点维修维护服务项目竞争性谈判采购'],['[2016-07-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9458']
['GZQS1601HC07033'],['广州市电子信息学校教学视音频信号传输控制系统及运动场扩声系统项目竞争性磋商采购'],['[2016-07-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9457']
['GZQS1601HT07038Z'],['怀集县永固镇初级中学图书采购采购公告'],['[2016-07-25]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9453']
['GZQS1601HG07044M'],['梅州市梅江区教育局教学设备采购项目公开招标公告'],['[2016-07-22]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9452']
['GZQS1601HG07039Z'],['怀集中学电教设备采购项目招标公告'],['[2016-07-22]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9449']
['GZQS1601FG06072'],['志诚招待所物业管理服务项目公开招标公告'],['[2016-07-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9444']
['GZQS1601HG06045Z'],['肇庆市高要区南岸山口小学图书采购招标公告'],['[2016-07-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9443']
['GZQS1601FG06034'],['黄埔区2016年度开发区土地集约利用评价工作技术服务公开招标公告'],['[2016-07-21]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9442']
['GZQS1601GY07018-B'],['深圳海洋环境监测中心站实验室台柜安装工程邀请招标公告'],['[2016-07-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9441']
['GZQS1601GY07018-A'],['深圳海洋环境监测中心站实验室通风及净化空调工程邀请招标公告'],['[2016-07-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9440']
['GZQS1601HX07008J'],['揭阳市蓝城区综合政务服务管理办公室人员服装采购项目询价采购'],['[2016-07-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9437']
['GZQS1601HT07010J'],['揭阳空港经济区地都中学教室监控系统采购项目竞争性谈判采购'],['[2016-07-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9436']
['GZQS1601HX07012J'],['揭西县大溪中学教学仪器及试剂设备采购项目询价采购'],['[2016-07-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9434']
['GZQS1601HG07024SH'],['韶关市公安局交警支队“黄标车”电子警察建设项目公开招标公告'],['[2016-07-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9433']
['GZQS1601HG05057'],['番禺区看守所在押人员衣服被装项目（重招）公开招标公告'],['[2016-07-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9431']
['GZQS1601FG06025'],['广州市花都区耕地质量定级与农用地估价试点工作项目公开招标公告'],['[2016-07-20]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9430']
['GZQS1601FG07007J'],['揭阳市福利彩票发行中心中福在线销售厅铺面租赁及装修采购项目公开招标公告'],['[2016-07-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9427']
['GZQS1601HG07026SH'],['韶关市地方税务局2016年体检服务采购项目竞争性磋商公告'],['[2016-07-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9423']
['GZQS1601GC06092'],['广东省四会监狱罗塘关押点医院修缮配套项目竞争性磋商采购'],['[2016-07-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9424']
['GZQS1601HG07017'],['仙村镇执勤消防车采购项目公开招标公告'],['[2016-07-19]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9421']
['GZQS1601HG06076Z'],['高要区中小企业服务中心公共服务平台网络硬件设备，软件系统及 培训活动采购招标公告'],['[2016-07-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9419']
['GZQS1601HG06078S'],['佛山市公安局三水分局食堂物料采购、配送服务（资格）采购项目招标公告'],['[2016-07-18]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9417']
['GZQS1601HG07022SH'],['韶关市体育局小型健身路径采购项目公开招标公告'],['[2016-07-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9412']
['GZQS1601HG06063M'],['广东烟草梅州市有限公司送货运输车辆采购项目公开招标公告'],['[2016-07-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9410']
['GZQS1601HG04068'],['广东省红十字会2016年救灾家庭包采购项目（项目编号：GZQS1601HG04068）公开招标公告'],['[2016-07-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9409']
['GZQS1601FG06061'],['广州市工业和信息化委员会委托开展无线电管理专项技术服务项目公开招标公告'],['[2016-07-15]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9406']
['GZQS1601FC07016Z'],['封开县环境保护局编写服务采购项目招标公告'],['[2016-07-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9405']
['440000-201607-146055-000'],['大埔县人民法院高清数字视频监控采购项目（项目编号：GZQS1601HG07009M）招标公告'],['[2016-07-14]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9404']
['GZQS1601HG07027Z'],['肇庆市图书馆中文图书、征订2017年报刊和图书专用高频RFID标签采购 招标公告'],['[2016-07-14]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9402']
['GZQS1601HT06077Z'],['肇庆市第九小学壁挂式多媒体电教平台、黑板及安装配件采购（二次）采购公告'],['[2016-07-14]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9400']
['GZQS1601HJ07021Z'],['生态公益林管护摩托车及保密会议移动通信干扰器设备采购 项目采购公告'],['[2016-07-14]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9398']
['GZQS1601HC06016'],['广东省从化监狱厨房设备采购竞争性磋商采购'],['[2016-07-14]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9397']
['GZQS1601HG05022'],['广州市公安局警务公开宣传物料及单位标识标牌采购项目公开招标公告'],['[2016-07-14]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9395']
['GZQS1601FG05024'],['广东省公安厅2016-29外购服务项目公开招标公告'],['[2016-07-13]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9394']
['GZQS1601HG07010S'],['佛山市三水区三水中学物理数字探究实验室设备采购项目招标公告'],['[2016-07-13]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9393']
['GZQS1601HG07012S'],['佛山市三水区人民检察院立体停车设备采购项目招标公告'],['[2016-07-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9391']
['GZQS1601HX07003J'],['普宁市流沙西街道办事处环卫设备及配套设施采购项目'],['[2016-07-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9388']
['GZQS1601HX07002J'],['普宁市燎原街道果陇村村民委员会环卫设备及配套设施采购项目'],['[2016-07-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9387']
['GZQS1601HG07002Z'],['广东省肇庆市地方税务局移动存储安全交换系统采购招标公告'],['[2016-07-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9385']
['GZQS1601FC06046'],['南沙区黄阁镇麒麟新城幼儿园2016年秋季增加服务项目竞争性磋商采购'],['[2016-07-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9383']
['GZQS1601HG01041'],['广东省公安边防总队应急物资装备采购项目子包三重招公开招标公告'],['[2016-07-12]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9382']
['GZQS1601FG06003'],['广州市增城区博物馆多媒体视频制作服务项目公开招标公告'],['[2016-07-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9378']
['GZQS1601FG06004'],['广州市增城区博物馆其他设备采购项目公开招标公告'],['[2016-07-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9373']
['GZQS1601HG05060SH'],['广东省北江监狱视频监控报警系统建设项目（重招）公开招标公告'],['[2016-07-11]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9372']
['GZQS1601HG06017J'],['普宁市池尾街道社区卫生服务中心洁净手术室配套设备采购项目公开招标'],['[2016-07-08]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9368']
['GZQS1601FG06089'],['第十八届高交会广东展团展区设计与搭建项目（项目编号：GZQS1601FG06089）公开招标公告'],['[2016-07-08]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9364']
['GZQS1601FD06007'],['2016年市本级福利彩票公益金资助老年电视专题栏目制作播出经费项目单一来源采购'],['[2016-07-08]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9363']
['GZQS1601FG05027'],['广州市自然资产核算方法及自然资产负债表编制研究项目公开招标公告'],['[2016-07-08]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9360']
['GZQS1601FT07020S'],['佛山市三水区职业学校机电专业（机器人方专业向）课程开发采购项目谈判公告'],['[2016-07-08]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9358']
['GZQS1601HX06051SH'],['韶关市公安局交警支队高速大队多功能会议室改造项目询价公告'],['[2016-07-07]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9357']
['GZQS1601HY07008'],['广东陆军预备役高射炮兵师第一团网络课室构建项目邀请招标'],['[2016-07-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9356']
['GZQS1601HG03032'],['广东省戒毒管理局机关食堂食材供应商资格采购项目公开招标公告'],['[2016-07-07]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9353']
['GZQS1601FG04063'],['广州南香山建设投资有限公司房屋固化测绘服务项目公开招标公告'],['[2016-07-07]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9350']
['GZQS1601FG06001J'],['揭西县环境卫生管理局老虎坷垃圾填埋场无害化应急改造与商业运营采购项目公开招标'],['[2016-07-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9347']
['GZQS1601HG06013J'],['普宁市妇幼保健院机房信息系统配套设备采购项目公开招标'],['[2016-07-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9346']
['GZQS1601HG06014J'],['普宁市妇幼保健院发电机组、并联机柜等配套设备采购项目公开招标'],['[2016-07-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9345']
['GZQS1601HG07001J'],['揭阳市榕城区市容环境卫生管理局环卫车辆采购项目公开招标'],['[2016-07-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9343']
['GZQS1601HX06016J'],['惠来县公安局机房升级改造采购项目 询价采购'],['[2016-07-06]'],['http://www.gzqunsheng.com//info2-detail.php?InfoId=9341']
